#Fichier XDMF_DATA
#Analysed Files: /home/mlamari/Post_Doc_1/Test_Preliminaire/FEniCSX/J_TestMaille/results_plasticity_Dogbone_vM_maille_01_tempsx4/results_.vtm
#[1] Increment   [2] VonMisesStressBulk   [3] CumulativePlasticStrainBulk   [4] TotalStrainBulk   [5] StressXXBulk   [6] PlasticStrainBulk   [7] ForceBordGauche   [8] StressXXBordGauche   [9] TotalStrainBordGauche   [10] VonMisesStressOzx   [11] CumulativePlasticStrainOzx   [12] TotalStrainOzx   [13] StressXXOzx   [14] PlasticStrainOzx
00060   26.2525866   0.0   0.0001313   26.3030604   0.0   13.1354409   8.7569606   4.11e-05   26.1502644   0.0   0.0001309   26.2382454   0.0   
00061   26.6901297   0.0   0.0001335   26.7414447   0.0   13.354365   8.90291   4.18e-05   26.5861021   0.0   0.0001331   26.6755496   0.0   
00062   27.1276728   0.0   0.0001357   27.179829   0.0   13.573289   9.0488593   4.25e-05   27.0219399   0.0   0.0001353   27.1128537   0.0   
00063   27.5652159   0.0   0.0001379   27.6182134   0.0   13.792213   9.1948087   4.32e-05   27.4577776   0.0   0.0001375   27.5501577   0.0   
00064   28.0027591   0.0   0.0001401   28.0565977   0.0   14.011137   9.340758   4.39e-05   27.8936154   0.0   0.0001396   27.9874618   0.0   
00065   28.4403022   0.0   0.0001423   28.494982   0.0   14.230061   9.4867074   4.45e-05   28.3294531   0.0   0.0001418   28.4247659   0.0   
00066   28.8778453   0.0   0.0001445   28.9333664   0.0   14.4489851   9.6326567   4.52e-05   28.7652908   0.0   0.000144   28.86207   0.0   
00067   29.3153884   0.0   0.0001467   29.3717507   0.0   14.6679091   9.7786061   4.59e-05   29.2011286   0.0   0.0001462   29.2993741   0.0   
00068   29.7529315   0.0   0.0001489   29.8101351   0.0   14.8868331   9.9245554   4.66e-05   29.6369663   0.0   0.0001484   29.7366782   0.0   
00069   30.1904746   0.0   0.000151   30.2485194   0.0   15.1057572   10.0705048   4.73e-05   30.072804   0.0   0.0001506   30.1739822   0.0   
00070   30.6280177   0.0   0.0001532   30.6869037   0.0   15.3246811   10.2164541   4.8e-05   30.5086418   0.0   0.0001527   30.6112864   0.0   
00071   31.0655608   0.0   0.0001554   31.1252881   0.0   15.5436052   10.3624035   4.86e-05   30.9444795   0.0   0.0001549   31.0485905   0.0   
00072   31.5031039   0.0   0.0001576   31.5636724   0.0   15.7625292   10.5083528   4.93e-05   31.3803173   0.0   0.0001571   31.4858945   0.0   
00073   31.940647   0.0   0.0001598   32.0020568   0.0   15.9814532   10.6543021   5e-05   31.816155   0.0   0.0001593   31.9231986   0.0   
00074   32.3781901   0.0   0.000162   32.4404411   0.0   16.2003772   10.8002515   5.07e-05   32.2519928   0.0   0.0001615   32.3605027   0.0   
00075   32.8157333   0.0   0.0001642   32.8788254   0.0   16.4193012   10.9462008   5.14e-05   32.6878305   0.0   0.0001636   32.7978068   0.0   
00076   33.2532764   0.0   0.0001664   33.3172098   0.0   16.6382252   11.0921502   5.21e-05   33.1236682   0.0   0.0001658   33.2351109   0.0   
00077   33.6908195   0.0   0.0001686   33.7555941   0.0   16.8571492   11.2380995   5.28e-05   33.559506   0.0   0.000168   33.672415   0.0   
00078   34.1283626   0.0   0.0001708   34.1939784   0.0   17.0760733   11.3840489   5.34e-05   33.9953438   0.0   0.0001702   34.1097191   0.0   
00079   34.5659057   0.0   0.0001729   34.6323628   0.0   17.2949973   11.5299982   5.41e-05   34.4311814   0.0   0.0001724   34.5470232   0.0   
